Name,Citizenship status,Gender,Race,PCI (need to calculate using formula),Year of study,Pillar,Link
A C Toh — SUTD Scholarship,,,,,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/A-C-Toh-Scholarship
AGA — SUTD Scholarship,,,,< $2000/mth; < $2250/mth,,ASD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/AGA-SUTD-Scholarship
AMP-LBKM — SUTD Scholarship,Singapore citizen,,Malay,< $2000/mth; < $2250/mth,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/AMP-LBKM-SUTD-Scholarship
Buddha Tooth Relic Temple and Museum — SUTD Scholarship,Singapore citizen,,,< $2000/mth; < $2250/mth,Freshmore; Sophomore,CSD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Buddha-Tooth-Relic-Temple-%E2%80%93-SUTD-Scholarship
C&W Services - SUTD Scholarship,Singapore citizen; Singapore PR,,,,Sophomore,CSD; DAI,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/C-W-Services-SUTD-Scholarship
Citrix — SUTD Women in Technology Scholarship,,Female,,,Freshmore,CSD; DAI,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Citrix-SUTD-Women-in-Technology-Scholarship
Cityneon Holdings — SUTD Scholarship,Singapore citizen; Singapore PR,,,,,ASD; EPD; ESD; CSD,http://sutd.edu.sg/Admissions/Undergraduate/Scholarship/Cityneon-Holdings-SUTD-Scholarship
Ensign InfoSecurity — SUTD Scholarship,Singapore citizen; Singapore PR,,,,Junior,CSD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Ensign-InfoSecurity-SUTD-Scholarship
Gilbert & Patricia Ong — SUTD Scholarship,Singapore citizen,,,,Freshmore,EPD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Gilbert-Patricia-Ong-SUTD-Scholarship
Hermes-Epitek — SUTD Scholarship,Singapore citizen,,,,,EPD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Hermes-Epitek-SUTD-Scholarship
Hokkien Foundation — SUTD Scholarship,Singapore citizen; Singapore PR,,,< $2000/mth; < $2250/mth,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Hokkien-Foundation-SUTD-Scholarship
Keppel Care Foundation — SUTD Scholarship,Singapore citizen,,,,Freshmore,ESD; EPD; CSD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Keppel-Care-Foundation-Scholarship
Kewalram Chenrai Group Scholarship for Women,Singapore citizen,Female,,,Freshmore,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Kewalram-Chanrai-Group-Scholarship-For-Women
Kewalram Chenrai Group Scholarship for Women (International Students),Foreigner,Female,,,Freshmore,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Kewalram-Chanrai-Group-Scholarship-For-Women-(1)
KKH — SUTD Scholarship,,,,< $2000/mth; < $2250/mth,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/KKH-Scholarship
Kwan Im Thong Hood Cho Temple Scholarship,Singapore citizen; Singapore PR,,,< $2000/mth,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Kwan-Im-Thong-Hood-Cho-Temple-Scholarship
Legend Group — SUTD Scholarship,Singapore citizen,,,,Sophomore,ESD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Legend-Group-SUTD-Scholarship
Low Ming Wah — SUTD Scholarship,Singapore citizen,,,< $2000/mth; < $2250/mth,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Low-Ming-Wah-%E2%80%93-SUTD-Scholarship
Meiban — SUTD Scholarship,Singapore citizen; Singapore PR,,,,,EPD; DAI,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Meiban-SUTD-Scholarship
Mr and Mrs Tan Tuck Meng — SUTD Scholarship,,,,< $2000/mth,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Mr-and-Mrs-Tan-Tuck-Meng-Scholarship
Paypal — SUTD Women Luminaries Programme,Singapore citizen; Singapore PR,Female,,,Sophomore,CSD,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/PayPal-SUTD-Women-Luminaries-Programme
Prima — SUTD Scholarship,Singapore citizen,,,,,,https://www.sutd.edu.sg/Admissions/Undergraduate/Scholarship/Prima-Scholarship
